InstitutionName,State,CurrentAdmissionsTestingPolicy
California State University-Northridge,CA,Test Free
California State University-Sacramento,CA,Test Free
California State University-San Bernardino,CA,Test Free
California State University-San Marcos,CA,Test Free
California State University-Stanislaus,CA,Test Free
California University of Management and Sciences,CA,Test Optional
California University of Pennsylvania,PA,Test Optional
Calumet College of Saint Joseph,IN,Test Optional
Calvin University,MI,Test Optional
Cameron University,OK,Test Optional
Campbellsville University,KY,Test Optional
Canisius College,NY,Test Free
Capella University,MN,Test Optional
Capital University,OH,Test Optional
Capitol Technology University,MD,Test Optional
Career Networks Institute,CA,Test Optional
Caribbean University-Bayamon,PR,Test Optional
Caribbean University-Carolina,PR,Test Optional
Caribbean University-Ponce,PR,Test Optional
Caribbean University-Vega Baja,PR,Test Optional
Carlow University,PA,Test Optional
Carolina Christian College,NC,Test Optional
Carolina University,NC,Test Optional
Carolinas College of Health Sciences,NC,Test Optional
Carroll College,MT,Test Optional
Carroll University,WI,Test Optional
Carson-Newman University,TN,Test Optional
Carthage College,WI,Test Optional
Cascadia College,WA,Test Optional
Case Western Reserve University,OH,Test Optional
Castleton University,VT,Test Optional
Catawba College,NC,Test Optional
CBD College,CA,Test Optional
Cedarville University,OH,Test Optional
CEM College-Bayamon,PR,Test Optional
CEM College-Humacao,PR,Test Optional
CEM College-Mayaguez,PR,Test Optional
CEM College-San Juan,PR,Test Optional
Centenary College of Louisiana,LA,Test Optional
Centenary University,NJ,Test Optional
Central Christian College of Kansas,KS,Test Optional
Central College,IA,Test Optional
Central Connecticut State University,CT,Test Optional
Central Methodist University-College of Graduate and Extended Studies,MO,Test Optional
Central Methodist University-College of Liberal Arts and Sciences,MO,Test Optional
Central Michigan University,MI,Test Optional
Central Ohio Technical College,OH,Test Optional
Central Penn College,PA,Test Optional
Central State University,OH,Test Optional
Central Washington University,WA,Test Optional
Central Wyoming College,WY,Test Optional
Central Yeshiva Tomchei Tmimim Lubavitz,NY,Test Optional
Centralia College,WA,Test Optional
Centre College,KY,Test Optional
Centura College-Chesapeake,VA,Test Optional
Centura College-Virginia Beach,VA,Test Optional
Century College,MN,Test Optional
Chadron State College,NE,Test Optional
Chamberlain University-Arizona,AZ,Test Optional
Chamberlain University-California,CA,Test Optional
Chamberlain University-Florida,FL,Test Optional
Chamberlain University-Georgia,GA,Test Optional
Chamberlain University-Illinois,IL,Test Optional
Chamberlain University-Indiana,IN,Test Optional
Chamberlain University-Louisiana,LA,Test Optional
Chamberlain University-Michigan,MI,Test Optional
Chamberlain University-Missouri,MO,Test Optional
Chamberlain University-Nevada,NV,Test Optional
Chamberlain University-New Jersey,NJ,Test Optional
Chamberlain University-North Carolina,NC,Test Optional
Chamberlain University-Ohio,OH,Test Optional
Chamberlain University-Texas,TX,Test Optional
Chamberlain University-Virginia,VA,Test Optional
Chaminade University of Honolulu,HI,Test Optional
Champlain College,VT,Test Optional
Chapman University,CA,Test Optional
Charles R Drew University of Medicine and Science,CA,Test Optional
Charleston Southern University,SC,Test Optional
Charlotte Christian College and Theological Seminary,NC,Test Optional
Charter College,WA,Test Optional
Charter Oak State College,CT,Test Optional
Chatham University,PA,Test Optional
Chestnut Hill College,PA,Test Optional
Cheyney University of Pennsylvania,PA,Test Optional
Chicago State University,IL,Test Optional
Chipola College,FL,Test Optional
Chowan University,NC,Test Optional
Christian Brothers University,TN,Test Optional
Christian Life College,IL,Test Optional
Christopher Newport University,VA,Test Optional
Cincinnati State Technical and Community College,OH,Test Optional
Citadel Military College of South Carolina,SC,Test Optional
City College-Gainesville,FL,Test Optional
City College-Miami,FL,Test Optional
City University of Seattle,WA,Test Optional
City Vision University,--,Test Optional
Clarion University of Pennsylvania,PA,Test Optional
Clark College,WA,Test Optional
Clark State College,OH,Test Optional
Clark University,MA,Test Optional
Clarke University,IA,Test Optional
Clarkson College,NE,Test Optional
Clarkson University,NY,Test Optional
Clear Creek Baptist Bible College,KY,Test Optional
Cleary University,MI,Test Optional
Clemson University,SC,Test Optional
Cleveland Institute of Art,OH,Test Optional
Cleveland Institute of Music,OH,Test Optional
Cleveland University-Kansas City,KS,Test Optional
Clinton College,SC,Test Optional
Coastal Carolina University,SC,Test Optional
Coe College,IA,Test Optional
Coker University,SC,Test Optional
Colby College,ME,Test Optional
Colby-Sawyer College,NH,Test Optional
College for Creative Studies,MI,Test Optional
College of Biblical Studies,TX,Test Optional
College of Biblical Studies-Houston,TX,Test Optional
College of Central Florida,FL,Test Optional
College of Menominee Nation,WI,Test Optional
College of Micronesia-FSM,FM,Test Optional
College of Mount Saint Vincent,NY,Test Optional
College of Our Lady of the Elms,MA,Test Optional
College of Saint Benedict,MN,Test Optional
College of Saint Mary,NE,Test Optional
College of Southern Idaho,ID,Test Optional
College of Southern Nevada,NV,Test Optional
College of the Atlantic,ME,Test Optional
College of the Holy Cross,MA,Test Optional
College of the Marshall Islands,MH,Test Optional
College Unbound,RI,Test Optional
Collin County Community College District,TX,Test Optional
Colorado College,CO,Test Optional
Colorado Mesa University,CO,Test Optional
Colorado Mountain College,CO,Test Optional
Colorado School of Mines,CO,Test Optional
Colorado State University Pueblo,CO,Test Optional
Colorado State University-Fort Collins,CO,Test Optional
Colorado Technical University-Colorado Springs,CO,Test Optional
Columbia Basin College,WA,Test Optional
Columbia Central University,PR,Test Optional
Columbia Central University-Yauco,PR,Test Optional
Columbia College,SC,Test Optional
Columbia College,MO,Test Optional
Columbia College Chicago,IL,Test Free
Columbia College Hollywood,CA,Test Optional
Columbia International University,SC,Test Optional
Columbia Southern University,AL,Test Optional
Columbia University in the City of New York,NY,Test Optional
Columbus College of Art and Design,OH,Test Optional
Community College of Denver,CO,Test Optional
Concord University,WV,Test Optional
Concordia College at Moorhead,MN,Test Optional
Concordia University Ann Arbor,MI,Test Optional
Concordia University Texas,TX,Test Optional
Concordia University-Chicago,IL,Test Optional
Concordia University-Irvine,CA,Test Optional
Concordia University-Nebraska,NE,Test Optional
Concordia University-Saint Paul,MN,Test Optional
Concordia University-Wisconsin,WI,Test Optional
Connecticut College,CT,Test Optional
Conservatory of Music of Puerto Rico,PR,Test Optional
Converse University,SC,Test Optional
Coppin State University,MD,Test Optional
Corban University,OR,Test Optional
Cornell College,IA,Test Optional
Cornish College of the Arts,WA,Test Optional
Cottey College,MO,Test Optional
Creighton University,NE,Test Optional
Criswell College,TX,Test Optional
Crowley's Ridge College,AR,Test Optional
Crown College,MN,Test Optional
Culinary Institute of America,NY,Test Optional
Culver-Stockton College,MO,Test Optional
Cumberland University,TN,Test Optional
Curry College,MA,Test Optional
Curtis Institute of Music,PA,Test Optional
Cypress College,CA,Test Optional
D'Youville  University,NY,Test Optional
Daemen University,NY,Test Optional
Dakota State University,SD,Test Optional
Dakota Wesleyan University,SD,Test Optional
Dallas Baptist University,TX,Test Optional
Dallas Christian College,TX,Test Optional
Dallas College,TX,Test Optional
Davenport University,MI,Test Optional
Davidson College,NC,Test Optional
Davis & Elkins College,WV,Test Optional
Davis College,NY,Test Optional
Daytona College,FL,Test Optional
Daytona State College,FL,Test Optional
Dean College,MA,Test Optional
Defiance College,OH,Test Optional
Delaware State University,DE,Test Optional
Delaware Valley University,PA,Test Optional
Denison University,OH,Test Optional
DePaul University,IL,Test Optional
DePauw University,IN,Test Optional
DeSales University,PA,Test Optional
Design Institute of San Diego,CA,Test Optional
DeVry College of New York,NY,Test Optional
DeVry University-Arizona,AZ,Test Optional
DeVry University-California,CA,Test Optional
DeVry University-Florida,FL,Test Optional
DeVry University-Georgia,GA,Test Optional
DeVry University-Illinois,IL,Test Optional
DeVry University-Missouri,MO,Test Optional
DeVry University-Nevada,NV,Test Optional
DeVry University-New Jersey,NJ,Test Optional
DeVry University-Ohio,OH,Test Optional
DeVry University-Pennsylvania,PA,Test Optional
DeVry University-Tennessee,TN,Test Optional
DeVry University-Texas,TX,Test Optional
DeVry University-Virginia,VA,Test Optional
Dewey University-Carolina,PR,Test Optional
Dewey University-Hato Rey,PR,Test Optional
Dewey University-Juana Díaz,PR,Test Optional
Dewey University-Manati,PR,Test Optional
Dharma Realm Buddhist University,CA,Test Optional
Dickinson College,PA,Test Optional
Dickinson State University,ND,Test Optional
DigiPen Institute of Technology,WA,Test Optional
Dillard University,LA,Test Optional
Dine College,AZ,Test Optional
Divine Word College,IA,Test Optional
Doane University,NE,Test Optional
Dominican University,IL,Test Optional
Dominican University New York,NY,Test Optional
Dominican University of California,CA,Test Optional
Donnelly College,KS,Test Optional
Dordt University,IA,Test Optional
Drake University,IA,Test Optional
Drew University,NJ,Test Optional
Drury University,MO,Test Optional
Drury University-College of Continuing Professional Studies,MO,Test Optional
Dunwoody College of Technology,MN,Test Optional
Duquesne University,PA,Test Optional
Eagle Gate College -Idaho Falls Campus,ID,Test Optional
Eagle Gate College-Boise Campus,ID,Test Optional
Eagle Gate College-Layton,UT,Test Optional
Eagle Gate College-Murray,UT,Test Optional
Earlham College,IN,Test Optional
East Central University,OK,Test Optional
East Stroudsburg University of Pennsylvania,PA,Test Optional
East Tennessee State University,TN,Test Optional
East Texas Baptist University,TX,Test Optional
East-West University,IL,Test Optional
Eastern Connecticut State University,CT,Test Optional
Eastern Florida State College,FL,Test Optional
Eastern Illinois University,IL,Test Optional
Eastern International College-Belleville,NJ,Test Optional
Eastern International College-Jersey City,NJ,Test Optional
Eastern Kentucky University,KY,Test Optional
Eastern Mennonite University,VA,Test Optional
Eastern Oregon University,OR,Test Optional
Eastern University,PA,Test Optional
Eastern Washington University,WA,Test Free
Eastwick College-Ramsey,NJ,Test Optional
Eckerd College,FL,Test Optional
ECPI University,VA,Test Optional
Edgewood College,WI,Test Optional
Edinboro University of Pennsylvania,PA,Test Optional
Edmonds College,WA,Test Optional
EDP University of Puerto Rico Inc-San Juan,PR,Test Optional
EDP University of Puerto Rico Inc-San Sebastian,PR,Test Optional
Elim Bible Institute and College,NY,Test Optional
Elizabethtown College,PA,Test Optional
Elmhurst University,IL,Test Optional
Elmira College,NY,Test Optional
Elon University,NC,Test Optional
Embry-Riddle Aeronautical University-Daytona Beach,FL,Test Optional
Embry-Riddle Aeronautical University-Prescott,AZ,Test Optional
Embry-Riddle Aeronautical University-Worldwide,FL,Test Optional
Emerson College,MA,Test Optional
Emmanuel College,MA,Test Optional
Emmaus Bible College,IA,Test Optional
Emory & Henry College,VA,Test Optional
Empire State University,NY,Test Free
Emporia State University,KS,Test Optional
Endicott College,MA,Test Optional
Ensign College,UT,Test Optional
Epic Bible College & Graduate School,CA,Test Optional
Erskine College,SC,Test Optional
Escuela de Artes Plasticas de Puerto Rico,PR,Test Optional
Eureka College,IL,Test Optional
Evangel University,MO,Test Optional
Everglades University,FL,Test Optional
Excelsior University,NY,Test Optional
Fairfax University of America,VA,Test Optional
Fairfield University,CT,Test Optional
Fairleigh Dickinson University-Florham Campus,NJ,Test Optional
Fairleigh Dickinson University-Metropolitan Campus,NJ,Test Optional
Faith International University,WA,Test Optional
Faith Theological Seminary and Christian College,FL,Test Optional
Farmingdale State College,NY,Test Optional
Fashion Institute of Technology,NY,Test Optional
Feather River Community College District,CA,Test Optional
Felbry College,OH,Test Optional
Felician University,NJ,Test Optional
Ferris State University,MI,Test Optional
Ferrum College,VA,Test Optional
FIDM-Fashion Institute of Design & Merchandising,CA,Test Optional
FIDM-Fashion Institute of Design & Merchandising-San Francisco,CA,Test Optional
Fisher College,MA,Test Optional
Fisk University,TN,Test Optional
Fitchburg State University,MA,Test Optional
Five Towns College,NY,Test Optional
Flagler College,FL,Test Optional
Florida Gateway College,FL,Test Optional
Florida Memorial University,FL,Test Optional
Florida National University-Main Campus,FL,Test Optional
Florida Southern College,FL,Test Optional
Florida SouthWestern State College,FL,Test Optional
Florida State College at Jacksonville,FL,Test Optional
Foothill College,CA,Test Optional
Fordham University,NY,Test Optional
Fort Hays State University,KS,Test Optional
Fort Lewis College,CO,Test Optional
Framingham State University,MA,Test Optional
Francis Marion University,SC,Test Optional
Franciscan Missionaries of Our Lady University,LA,Test Optional
Franklin and Marshall College,PA,Test Optional
Franklin College,IN,Test Optional
Franklin Pierce University,NH,Test Optional
Franklin University,OH,Test Optional
Freed-Hardeman University,TN,Test Optional
Fremont University,CA,Test Optional
Fresno Pacific University,CA,Test Optional
Friends University,KS,Test Optional
Front Range Community College,CO,Test Optional
Frostburg State University,MD,Test Optional
Full Sail University,FL,Test Optional
Furman University,SC,Test Optional
Galen College of Nursing-Cincinnati,OH,Test Optional
Galen College of Nursing-Louisville,KY,Test Optional
Galen College of Nursing-San Antonio,TX,Test Optional
Galen College of Nursing-Tampa Bay,FL,Test Optional
Galen Health Institutes-Asheville,NC,Test Optional
Galen Health Institutes-Austin Campus,TX,Test Optional
Galen Health Institutes-Gainesville,FL,Test Optional
Galen Health Institutes-Houston,TX,Test Optional
Galen Health Institutes-Miami Campus,FL,Test Optional
Galen Health Institutes-Nashville Campus,TN,Test Optional
Galen Health Institutes-Sarasota,FL,Test Optional
Galveston College,TX,Test Optional
Gannon University,PA,Test Free
Gardner-Webb University,NC,Test Optional
Gemini School of Visual Arts & Communication,TX,Test Optional
Geneva College,PA,Test Optional
George Fox University,OR,Test Optional
George Mason University,VA,Test Optional
George Washington University,DC,Test Optional
Georgia Military College,GA,Test Optional
Georgia State University,GA,Test Optional
Georgian Court University,NJ,Test Optional
Gettysburg College,PA,Test Optional
Glenville State University,WV,Test Optional
Gnomon,CA,Test Optional
Gods Bible School and College,OH,Test Optional
Golden Gate University,CA,Test Optional
Goldey-Beacom College,DE,Test Optional
Gonzaga University,WA,Test Optional
Good Samaritan College of Nursing and Health Science,OH,Test Optional
Goodwin University,CT,Test Optional
Gordon College,MA,Test Optional
Goshen College,IN,Test Optional
Goucher College,MD,Test Optional
Governors State University,IL,Test Optional
Grace Christian University,MI,Test Optional
Grace College and Theological Seminary,IN,Test Optional
Grace Mission University,CA,Test Optional
Grace School of Theology,TX,Test Optional
Graceland University-Lamoni,IA,Test Optional
Grand Canyon University,AZ,Test Optional
Grand Valley State University,MI,Test Optional
Grand View University,IA,Test Optional
Granite State College,NH,Test Optional
Grantham University,--,Test Optional
Grays Harbor College,WA,Test Optional
Grayson College,TX,Test Optional
Great Basin College,NV,Test Optional
Great Northern University,WA,Test Optional
Green River College,WA,Test Optional
Greensboro College,NC,Test Optional
Greenville Technical College,SC,Test Optional
Greenville University,IL,Test Optional
Grove City College,PA,Test Optional
Guam Community College,GU,Test Optional
Guilford College,NC,Test Optional
Gulf Coast State College,FL,Test Optional
Gurnick Academy of Medical Arts,CA,Test Optional
Gustavus Adolphus College,MN,Test Optional
Gwynedd Mercy University,PA,Test Optional
Hallmark University,TX,Test Optional
Hamilton College,NY,Test Optional
Hamline University,MN,Test Optional
Hampshire College,MA,Test Free
Hampton University,VA,Test Optional
Hanover College,IN,Test Optional
Hardin-Simmons University,TX,Test Optional
Harris-Stowe State University,MO,Test Optional
Harrisburg University of Science and Technology,PA,Test Optional
Hartwick College,NY,Test Optional
Haskell Indian Nations University,KS,Test Optional
Hastings College,NE,Test Optional
Haven University,CA,Test Optional
Haverford College,PA,Test Optional
Hawaii Pacific University,HI,Test Optional
Heidelberg University,OH,Test Optional
Helene Fuld College of Nursing,NY,Test Optional
Hellenic College-Holy Cross Greek Orthodox School of Theology,MA,Test Optional
Henderson State University,AR,Test Optional
Hendrix College,AR,Test Optional
Henry Ford College,MI,Test Optional
Heritage Bible College,NC,Test Optional
Heritage Christian University,AL,Test Optional
Heritage University,WA,Test Optional
Herzing University-Akron,OH,Test Optional
Herzing University-Atlanta,GA,Test Optional
Herzing University-Birmingham,AL,Test Optional
Herzing University-Brookfield,WI,Test Optional
Herzing University-Kenosha,WI,Test Optional
Herzing University-Madison,WI,Test Optional
Herzing University-Minneapolis,MN,Test Optional
Herzing University-New Orleans,LA,Test Optional
Herzing University-Orlando,FL,Test Optional
Herzing University-Tampa,FL,Test Optional
Hesston College,KS,Test Optional
High Point University,NC,Test Optional
Hilbert College,NY,Test Optional
Hillsdale College,MI,Test Optional
Hiram College,OH,Test Optional
Hobart William Smith Colleges,NY,Test Optional
Hobe Sound Bible College,FL,Test Optional
Hofstra University,NY,Test Optional
Hollins University,VA,Test Optional
Holy Apostles College and Seminary,CT,Test Optional
Holy Cross College,IN,Test Optional
Holy Family University,PA,Test Optional
Hood College,MD,Test Optional
Hope College,MI,Test Optional
Hope International University,CA,Test Optional
Horizon University,IN,Test Optional
Houghton University,NY,Test Optional
"Houston Christian University
",TX,Test Optional
Howard Payne University,TX,Test Optional
Huertas College,PR,Test Optional
Hult International Business School,MA,Test Optional
Humphreys University-Stockton and Modesto Campuses,CA,Test Optional
Huntingdon College,AL,Test Optional
Huntington University,IN,Test Optional
Huntington University of Health Sciences,--,Test Optional
Huntsville Bible College,AL,Test Optional
Husson University,ME,Test Optional
Huston-Tillotson University,TX,Test Optional
Idaho State University,ID,Test Optional
Ilisagvik College,AK,Test Optional
Illinois College,IL,Test Optional
Illinois Institute of Technology,IL,Test Optional
Illinois State University,IL,Test Optional
Illinois Wesleyan University,IL,Test Optional
Immaculata University,PA,Test Optional
Indian Bible College,AZ,Test Optional
Indian River State College,FL,Test Optional
Indiana Institute of Technology,IN,Test Optional
Indiana Institute of Technology-College of Professional Studies,IN,Test Optional
Indiana State University,IN,Test Optional
Indiana University-Bloomington,IN,Test Optional
Indiana University-East,IN,Test Optional
Indiana University-Kokomo,IN,Test Optional
Indiana University-Northwest,IN,Test Optional
Indiana University-Purdue University-Indianapolis,IN,Test Optional
Indiana University-South Bend,IN,Test Optional
Indiana University-Southeast,IN,Test Optional
Indiana Wesleyan University-Marion,IN,Test Optional
Indiana Wesleyan University-National & Global,IN,Test Optional
Institute of American Indian and Alaska Native Culture and Arts Development,NM,Test Optional
Institute of Production and Recording,MN,Test Optional
Inter American University of Puerto Rico-Aguadilla,PR,Test Optional
Inter American University of Puerto Rico-Arecibo,PR,Test Optional
Inter American University of Puerto Rico-Barranquitas,PR,Test Optional
Inter American University of Puerto Rico-Bayamon,PR,Test Optional
Inter American University of Puerto Rico-Fajardo,PR,Test Optional
Inter American University of Puerto Rico-Guayama,PR,Test Optional
Inter American University of Puerto Rico-Metro,PR,Test Optional
Inter American University of Puerto Rico-Ponce,PR,Test Optional
Inter American University of Puerto Rico-San German,PR,Test Optional
International Baptist College and Seminary,AZ,Test Optional
"Iona University

",NY,Test Optional
Iowa State University,IA,Test Optional
Ithaca College,NY,Test Optional
Jackson College,MI,Test Optional
Jackson State University,MS,Test Optional
Jacksonville State University,AL,Test Optional
Jacksonville University,FL,Test Optional
James Madison University,VA,Test Optional
Jarvis Christian University,TX,Test Optional
John Brown University,AR,Test Optional
John Patrick University of Health and Applied Sciences,IN,Test Optional
John Paul the Great Catholic University,CA,Test Optional
Johnson & Wales University-Charlotte,NC,Test Optional
Johnson & Wales University-Providence,RI,Test Optional
Johnson C Smith University,NC,Test Optional
Jose Maria Vargas University,FL,Test Optional
Joyce University of Nursing and Health Sciences,UT,Test Optional
Judson University,IL,Test Optional
Juniata College,PA,Test Optional
Kalamazoo College,MI,Test Optional
Kansas Christian College,KS,Test Optional
Kansas City Art Institute,MO,Test Optional
Kansas State University,KS,Test Optional
Kansas Wesleyan University,KS,Test Optional
Kean University,NJ,Test Optional
Keene State College,NH,Test Optional
Kehilath Yakov Rabbinical Seminary,NY,Test Optional
Keiser University-Ft Lauderdale,FL,Test Optional
Kent State University at Ashtabula,OH,Test Optional
Kent State University at East Liverpool,OH,Test Optional
Kent State University at Geauga,OH,Test Optional
Kent State University at Kent,OH,Test Optional
Kent State University at Salem,OH,Test Optional
Kent State University at Stark,OH,Test Optional
Kent State University at Trumbull,OH,Test Optional
