state_abbrev,cities,population,crime_rate_per_100k
FL,North Lauderdale,42352,15375.897242160938
FL,North Miami Beach,43084,24425.772908736424
FL,North Port,58568,7020.045075809316
CT,Norwich,40517,12938.519633733986
CA,Novato,52942,7506.3276793472105
MI,Novi,55623,7013.6454344425865
IL,Oak Lawn,56964,7513.341759707885
FL,Oakland Park,42701,28452.963630828322
FL,Ocala,57288,21158.357771261
WA,Olympia,47729,19622.032726434663
IL,Orland Park,57043,8451.343723156217
AZ,Oro Valley,41786,8017.996458143875
KY,Owensboro,57751,15849.076206472615
FL,Palm Beach Gardens,49679,13444.11119386461
CA,Palm Desert,50021,19392.055336758563
CA,Palm Springs,45996,23954.90912253239
CA,Paramount,54997,11770.09655072095
CO,Parker,47004,4598.332056846226
NJ,Parsippany-Troy Hills Township,53793,3697.878906177384
MA,Peabody,52113,9006.581850977684
PA,Penn Hills,42488,10768.687629448314
FL,Pensacola,52909,25041.297321816703
NJ,Perth Amboy,51345,11022.884409387476
CA,Petaluma,58995,5683.193490973812
TX,Pflugerville,49483,7048.885475819977
AR,Pine Bluff,48522,33444.0047813363
FL,Pinellas Park,49821,23954.95875233335
NJ,Piscataway Township,56593,3684.2012263000724
MA,Pittsfield,44868,13481.322991887313
CA,Placentia,51778,7556.877438294257
NJ,Plainfield,50332,14234.284351903361
ID,Pocatello,55182,10791.200028994963
TX,Port Arthur,54745,18351.63028587086
FL,Port Orange,57300,9082.198952879582
MI,Portage,46658,15792.57576407047
CA,Porterville,55533,13015.504294743665
NY,Poughkeepsie Town,42698,15808.468780739146
CA,Poway,48968,5446.822414638131
AZ,Prescott,40420,15571.004453240968
IL,Quincy,40684,18028.21748107364
CA,Rancho Palos Verdes,42335,5948.033541986536
CA,Rancho Santa Margarita,49038,2877.7682613483416
WA,Redmond,55770,7896.360050206204
MA,Revere,52926,10809.998866341684
WA,Richland,50057,10791.697464890025
CA,Rocklin,58865,5575.63917438206
NC,Rocky Mount,58002,24564.325368090755
AR,Rogers,57757,13747.251415412851
CA,Rohnert Park,41716,11055.9497554895
CA,Rosemead,54656,7069.855093676815
MI,Roseville,47400,19245.569620253165
NM,Roswell,48623,24710.322275466344
TX,Rowlett,58324,6337.871202249502
MI,Royal Oak,57649,6499.332165345453
MI,Saginaw Township,40642,10957.87608877516
MI,Saginaw,51267,22645.75652954142
MA,Salem,42025,12615.585960737657
KS,Salina,48155,21682.691309313683
WA,Sammamish,47158,3228.296365409898
CA,San Bruno,42002,11858.24484548355
CA,San Gabriel,40376,7827.174559144046
CA,San Jacinto,45637,15518.3294256853
CA,San Luis Obispo,45947,19799.76929941019
TX,San Marcos,47384,15330.069221678203
CA,San Rafael,58854,11409.2500084956
FL,Sanford,54662,22001.75624748454
CA,Santee,54700,8442.413162705667
FL,Sarasota,53055,23603.618886061635
NJ,Sayreville,43151,6627.192880813887
WI,Sheboygan,49261,13904.102636974483
CT,Shelton,40062,5657.73051769757
WA,Shoreline,54574,11771.356323524022
AZ,Sierra Vista,46612,15381.875911782376
GA,Smyrna,52537,11253.212022003541
TN,Smyrna,41284,12826.034299002034
NJ,South Brunswick Township,43875,5735.384615384614
UT,South Jordan,52071,7759.789518157901
NY,Southampton Town,50256,8465.058898439987
MS,Southaven,49938,11797.428811726542
CT,Southington,43219,8341.470186723433
MI,St. Clair Shores,59841,7461.439481292091
MN,St. Louis Park,46176,14121.405058905058
MO,St. Peters,53364,10590.660370287083
PA,State College,57020,5167.309715889161
OK,Stillwater,46331,14833.264984567568
CT,Stratford,52041,11202.705559078417
IL,Streamwood,40050,9189.513108614232
OH,Strongsville,44397,8208.662747482938
SC,Summerville,45209,13719.392156429029
SC,Sumter,40911,30471.755762508856
MA,Taunton,56438,7026.11715510826
NJ,Teaneck Township,40230,7933.631618195376
TX,Texas City,46448,17131.415776782636
OR,Tigard,49359,14644.745639093173
IL,Tinley Park,56992,5430.762212240315
FL,Titusville,44374,20913.59805291387
NY,Tonawanda Town,58393,6974.123610706763
NY,Troy,50391,21321.466134825663
ID,Twin Falls,44866,14237.953015646593
OH,"Union Township, Clermont County",46833,15401.106057694358
NJ,Union Township,57234,6996.889960512982
IL,Urbana,41537,18442.593350506777
IA,Urbandale,40467,9098.771838782217
GA,Valdosta,56617,16047.476906229575
CT,Wallingford,45183,9100.767987960073
OH,Warren,41355,26767.98452424132
NJ,"Washington Township, Gloucester County",48940,10070.494483040458
CA,Watsonville,52064,13553.703134603566
WI,Wauwatosa,46748,18340.035937366305
NJ,Wayne Township,55071,8355.032594287371
NY,Webster Town and Village,42936,5316.051798024967
FL,Wellington,57943,9465.509207324441
OH,West Chester Township,58897,7898.874305991817
IA,West Des Moines,58134,11362.369697595212
CT,West Haven,55626,11414.806025959084
NJ,West New York,50507,7283.54485516859
NJ,West Orange,46505,6676.701429953769
CA,West Sacramento,49500,13451.717171717173
NY,West Seneca Town,44902,8868.201861832436
MA,Westfield,41485,9831.505363384356
MA,Weymouth,54597,6662.270820741066
IL,Wheaton,53263,4173.253478024145
NY,White Plains,57567,8919.693574443692
PA,Wilkes-Barre,41532,16406.626215929886
NC,Wilson,49785,20842.82414381842
